product_id,product_name,category_id,original_price,stock,brand,slug,vendor_id,ratings,product_description,date_add
250717,925 Sterling Silver charms Snow White Princess pendant Fit Original Pandora Bracelet Herocross disney apple jewelry women gift,120662,14.1,983,No Brand,925-sterling-silver-charms-snow-white-princess-pendant-fit-original-pandora-bracelet-herocross-disney-apple-jewelry-women-gift,2,5.0,no description,2024-05-28
275245,Luxury Saddle Women's Chest Bag Crossbody Bags Female Fashion Chain Handbag Hobos Bag Banana Belt Purse Banana Bag Fanny Packs,15,12.72,2000,No Brand,luxury-saddle-womens-chest-bag-crossbody-bags-female-fashion-chain-handbag-hobos-bag-banana-belt-purse-banana-bag-fanny-packs,2,3.1,no description,2024-03-15
5158807,Women's Shoulder Canvas Bag Large With Chain Capacity for women on offer 2023 new,15,73.07,30,No Brand,womens-shoulder-canvas-bag-large-with-chain-capacity-for-women-on-offer-2023-new,1,3.5,no description,2024-03-29
654066,Lucky Eye Plastic Round Pendant Necklace Leather Rope Chain Turkish Evil Eye Necklace for Women Men Jewelry collar collier שרשרת,120662,2.91,32,No Brand,lucky-eye-plastic-round-pendant-necklace-leather-rope-chain-turkish-evil-eye-necklace-for-women-men-jewelry-collar-collier,1,1.1,no description,2024-03-15
653813,316L Stainless Steel Necklace For Women Heart Pendant Necklaces Coin Eye Charm Chain Choker Necklace Jewelry Gifts Wholesale,120662,15.2,978,No Brand,316l-stainless-steel-necklace-for-women-heart-pendant-necklaces-coin-eye-charm-chain-choker-necklace-jewelry-gifts-wholesale,1,3.5,no description,2024-05-22
272411,Gua Sha Scraping Massage Toolfor Back Legs Arm Neck Shoulder SPA Massage,128915,2.38,999,No Brand,gua-sha-scraping-massage-toolfor-back-legs-arm-neck-shoulder-spa-massage,1,1.8,no description,2024-05-17
272529,Meridian Point Lymphatic Acid Drainage Magnetotherapy Pen Magnetic Therapy Acid Discharge Fork Massage Shoulder Neck Massager,128915,97.34,999,No Brand,meridian-point-lymphatic-acid-drainage-magnetotherapy-pen-magnetic-therapy-acid-discharge-fork-massage-shoulder-neck-massager,1,1.7,no description,2024-03-27
5085621,Outdoor tactical gloves multifunctional sports gloves half-finger military men's combat gloves shooting hunting gloves women,137646,2.67,699,No Brand,outdoor-tactical-gloves-multifunctional-sports-gloves-half-finger-military-mens-combat-gloves-shooting-hunting-gloves-women,1,2.3,no description,2024-04-28
670409,Women's Leather Senior Sense Fashion Chain Shoulder Sling Crossbody Messenger Bag,15,40.11,6,No Brand,womens-leather-senior-sense-fashion-chain-shoulder-sling-crossbody-messenger-bag,1,4.4,no description,2024-03-26
670357,Designer Bag Fashion Stitching Tote Bags for Women New Shoulder Bag Luxury Purses and Handbag Brand Satchel Cute Messenger Bag,15,79.29,524,No Brand,designer-bag-fashion-stitching-tote-bags-for-women-new-shoulder-bag-luxury-purses-and-handbag-brand-satchel-cute-messenger-bag,1,4.8,no description,2024-04-24
